Date,Name,Status,Project,Count
8/28/2018,Wayne Morris,Open,Apache Airflow,2
8/29/2018,Ashok Kumar,Open,Apache Airflow,2
8/29/2018,Jeffrey Payne,In Progress,Apache Airflow,2
8/29/2018,"Lin, Yi-Li",Open,Apache Airflow,2
8/29/2018,Siddharth Anand,Closed,Apache Airflow,2
8/29/2018,Tao Feng,Open,Apache Airflow,2
8/29/2018,jack,Open,Apache Airflow,2
8/30/2018,Apache Spark,Open,Apache Airflow,2
8/30/2018,Frank Maritato,Open,Apache Airflow,2
8/30/2018,Kaxil Naik,Resolved,Apache Airflow,2
8/30/2018,Micah Smith,Open,Apache Airflow,2
8/31/2018,Art Fotinich,Open,Apache Airflow,2
8/31/2018,Miłosz Szymczak,Open,Apache Airflow,2
9/3/2018,Ash Berlin-Taylor,Open,Apache Airflow,2
9/4/2018,Ash Berlin-Taylor,Closed,Apache Airflow,2
9/4/2018,Kaxil Naik,Resolved,Apache Airflow,2
9/4/2018,Xiaodong DENG,Open,Apache Airflow,2
9/5/2018,Kaxil Naik,Resolved,Apache Airflow,2
9/5/2018,Valerii Zhuk,Open,Apache Airflow,2
9/5/2018,holdenk,Open,Apache Airflow,2
9/6/2018,Andrew Sardone,Open,Apache Airflow,2
9/6/2018,Siddharth Anand,Closed,Apache Airflow,2
9/7/2018,Konrad Gołuchowski,Open,Apache Airflow,2
9/10/2018,Iuliia Volkova,Reopened,Apache Airflow,2
9/10/2018,Smith Mathieu,Open,Apache Airflow,2
9/10/2018,Smith Mathieu,Reopened,Apache Airflow,2
9/11/2018,Ash Berlin-Taylor,Open,Apache Airflow,2
9/11/2018,David Allan,Open,Apache Airflow,2
9/11/2018,Kaxil Naik,In Progress,Apache Airflow,2
9/11/2018,Kaxil Naik,Resolved,Apache Airflow,2
9/11/2018,holdenk,Open,Apache Airflow,2
9/12/2018,Kaxil Naik,Open,Apache Airflow,2
9/13/2018,Anton Protopopov,Open,Apache Airflow,2
9/13/2018,Damian Momot,Open,Apache Airflow,2
9/13/2018,Iuliia Volkova,In Progress,Apache Airflow,2
9/13/2018,Iuliia Volkova,Open,Apache Airflow,2
9/13/2018,Siddharth Anand,Closed,Apache Airflow,2
9/14/2018,Hugo Prudente,Open,Apache Airflow,2
9/15/2018,Szymon Bilinski,Open,Apache Airflow,2
9/15/2018,Xiaodong DENG,Reopened,Apache Airflow,2
9/17/2018,Ash Berlin-Taylor,Open,Apache Airflow,2
9/18/2018,Ash Berlin-Taylor,Open,Apache Airflow,2
9/18/2018,Joy Gao,Open,Apache Airflow,2
9/19/2018,Fokko Driesprong,Closed,Apache Airflow,2
9/19/2018,William Pursell,Open,Apache Airflow,2
9/20/2018,John Longo,Open,Apache Airflow,2
9/21/2018,Holden Karau's magical unicorn,In Progress,Apache Airflow,2
9/21/2018,Kaxil Naik,In Progress,Apache Airflow,2
9/21/2018,Kaxil Naik,Open,Apache Airflow,2
9/21/2018,holdenk,In Progress,Apache Airflow,2
9/24/2018,Ash Berlin-Taylor,Resolved,Apache Airflow,2
9/24/2018,Eric Chang,Resolved,Apache Airflow,2
9/25/2018,Akshar Dave,Open,Apache Airflow,2
9/26/2018,Fred Israel,Open,Apache Airflow,2
9/26/2018,jack,Open,Apache Airflow,2
1/16/2012,Hans Brende,Open,Apache Any23,2
8/14/2013,Hans Brende,Resolved,Apache Any23,2
6/28/2018,Lewis John McGibbney,Open,Apache Any23,2
7/9/2018,Hudson,Resolved,Apache Any23,2
7/10/2018,Hans Brende,Open,Apache Any23,2
7/10/2018,Hans Brende,Resolved,Apache Any23,2
7/13/2018,Hans Brende,Resolved,Apache Any23,2
7/20/2018,Sebastian Nagel,Open,Apache Any23,2
7/27/2018,Anthony Pessy,Open,Apache Any23,2
7/31/2018,Hans Brende,Open,Apache Any23,2
8/1/2018,Hans Brende,Open,Apache Any23,2
8/1/2018,Hans Brende,Resolved,Apache Any23,2
8/1/2018,Hudson,Resolved,Apache Any23,2
8/2/2018,Hans Brende,Open,Apache Any23,2
8/3/2018,Hans Brende,Resolved,Apache Any23,2
8/3/2018,Hudson,Resolved,Apache Any23,2
8/4/2018,Hans Brende,Open,Apache Any23,2
8/5/2018,Hans Brende,Open,Apache Any23,2
8/8/2018,Anthony Pessy,Closed,Apache Any23,2
8/9/2018,Hans Brende,Open,Apache Any23,2
8/9/2018,Jacek Grzebyta,Open,Apache Any23,2
8/22/2018,Jacek Grzebyta,Open,Apache Any23,2
8/29/2018,Hans Brende,Open,Apache Any23,2
8/29/2018,Lewis John McGibbney,Open,Apache Any23,2
8/31/2018,Lewis John McGibbney,Open,Apache Any23,2
9/21/2018,Lewis John McGibbney,Open,Apache Any23,2
9/27/2018,Hans Brende,Open,Apache Any23,2
5/18/2017,Pramod Immaneni,Open,Apache Apex Core,2
11/13/2017,Chandni Singh,Open,Apache Apex Core,2
11/13/2017,Mahesh,Open,Apache Apex Core,2
11/13/2017,Sanjay M Pujare,Open,Apache Apex Core,2
8/14/2018,Mahesh,Open,Apache Apex Malhar,2
3/2/2016,Antoine Pitrou,Open,Apache Arrow,2
3/7/2016,Antoine Pitrou,Open,Apache Arrow,2
5/12/2016,Wes McKinney,Resolved,Apache Arrow,2
1/16/2017,Wes McKinney,Open,Apache Arrow,2
4/11/2017,Wes McKinney,Resolved,Apache Arrow,2
4/24/2017,Uwe L. Korn,In Progress,Apache Arrow,2
5/7/2017,Uwe L. Korn,Open,Apache Arrow,2
7/2/2017,Wes McKinney,Open,Apache Arrow,2
7/25/2017,Wes McKinney,Open,Apache Arrow,2
8/19/2017,Wes McKinney,Resolved,Apache Arrow,2
8/28/2017,Wes McKinney,In Progress,Apache Arrow,2
8/28/2017,Wes McKinney,Resolved,Apache Arrow,2
9/3/2017,Wes McKinney,In Progress,Apache Arrow,2
9/19/2017,Atri Sharma,Open,Apache Arrow,2
9/19/2017,Wes McKinney,Open,Apache Arrow,2
9/27/2017,Wes McKinney,In Progress,Apache Arrow,2
10/9/2017,Aldrin,Open,Apache Arrow,2
10/9/2017,Uwe L. Korn,In Progress,Apache Arrow,2
10/9/2017,Wes McKinney,Open,Apache Arrow,2
10/18/2017,Uwe L. Korn,Open,Apache Arrow,2
10/20/2017,Brian Hulette,Open,Apache Arrow,2
10/28/2017,Wes McKinney,In Progress,Apache Arrow,2
11/8/2017,Li Jin,Resolved,Apache Arrow,2
11/19/2017,Wes McKinney,Open,Apache Arrow,2
11/26/2017,Wes McKinney,In Progress,Apache Arrow,2
11/26/2017,Wes McKinney,Resolved,Apache Arrow,2
12/6/2017,Wes McKinney,Open,Apache Arrow,2
12/13/2017,Wes McKinney,Open,Apache Arrow,2
12/29/2017,Wes McKinney,Open,Apache Arrow,2
1/3/2018,Krisztian Szucs,In Progress,Apache Arrow,2
1/4/2018,Wes McKinney,Open,Apache Arrow,2
1/4/2018,Wes McKinney,Resolved,Apache Arrow,2
1/10/2018,Wes McKinney,Open,Apache Arrow,2
1/11/2018,Wes McKinney,Open,Apache Arrow,2
1/12/2018,Wes McKinney,Open,Apache Arrow,2
1/13/2018,Wes McKinney,Open,Apache Arrow,2
1/15/2018,Antoine Pitrou,In Progress,Apache Arrow,2
1/24/2018,Wes McKinney,In Progress,Apache Arrow,2
1/30/2018,Antoine Pitrou,Resolved,Apache Arrow,2
1/31/2018,Antoine Pitrou,Resolved,Apache Arrow,2
2/6/2018,Wes McKinney,In Progress,Apache Arrow,2
3/3/2018,Wes McKinney,In Progress,Apache Arrow,2
3/12/2018,Wes McKinney,Open,Apache Arrow,2
3/17/2018,Paul Ivanov,Open,Apache Arrow,2
3/22/2018,Antoine Pitrou,Resolved,Apache Arrow,2
3/23/2018,Li Jin,Resolved,Apache Arrow,2
3/30/2018,Wes McKinney,Resolved,Apache Arrow,2
4/2/2018,Kouhei Sutou,Open,Apache Arrow,2
4/2/2018,Wes McKinney,Open,Apache Arrow,2
4/3/2018,Li Jin,Resolved,Apache Arrow,2
4/4/2018,Li Jin,Resolved,Apache Arrow,2
4/10/2018,Li Jin,Resolved,Apache Arrow,2
4/10/2018,Wes McKinney,Open,Apache Arrow,2
4/28/2018,Uwe L. Korn,Resolved,Apache Arrow,2
5/8/2018,Eric Conlon,Open,Apache Arrow,2
5/8/2018,Krisztian Szucs,Open,Apache Arrow,2
5/15/2018,Li Jin,Resolved,Apache Arrow,2
5/20/2018,Krisztian Szucs,Open,Apache Arrow,2
5/22/2018,Li Jin,Resolved,Apache Arrow,2
5/24/2018,Wes McKinney,In Progress,Apache Arrow,2
5/31/2018,Alex Hagerman,Open,Apache Arrow,2
5/31/2018,Uwe L. Korn,Open,Apache Arrow,2
6/1/2018,Antoine Pitrou,Open,Apache Arrow,2
6/1/2018,Wes McKinney,Open,Apache Arrow,2
6/2/2018,Uwe L. Korn,Open,Apache Arrow,2
6/3/2018,Krisztian Szucs,Open,Apache Arrow,2
6/5/2018,Wes McKinney,In Progress,Apache Arrow,2
6/8/2018,Wes McKinney,In Progress,Apache Arrow,2
6/8/2018,Wes McKinney,Resolved,Apache Arrow,2
6/11/2018,Siddharth Teotia,Resolved,Apache Arrow,2
6/12/2018,Dimitri Vorona,Open,Apache Arrow,2
6/12/2018,Wes McKinney,In Progress,Apache Arrow,2
6/12/2018,Wes McKinney,Resolved,Apache Arrow,2
6/14/2018,Alex Hagerman,Open,Apache Arrow,2
6/14/2018,Antoine Pitrou,Open,Apache Arrow,2
6/14/2018,Wes McKinney,Open,Apache Arrow,2
6/15/2018,Krisztian Szucs,Open,Apache Arrow,2
6/15/2018,Wes McKinney,Resolved,Apache Arrow,2
6/18/2018,Wes McKinney,In Progress,Apache Arrow,2
6/18/2018,Wes McKinney,Open,Apache Arrow,2
6/18/2018,Wes McKinney,Resolved,Apache Arrow,2
6/19/2018,Antoine Pitrou,Open,Apache Arrow,2
6/20/2018,Siddharth Teotia,Resolved,Apache Arrow,2
6/25/2018,Bryan Cutler,Open,Apache Arrow,2
6/25/2018,Wes McKinney,Open,Apache Arrow,2
6/26/2018,Wes McKinney,Resolved,Apache Arrow,2
6/27/2018,Antoine Pitrou,Open,Apache Arrow,2
6/27/2018,Wes McKinney,In Progress,Apache Arrow,2
6/29/2018,Kouhei Sutou,Open,Apache Arrow,2
6/30/2018,Wes McKinney,Open,Apache Arrow,2
7/1/2018,Daniel Chalef,Open,Apache Arrow,2
7/1/2018,Leo Meyerovich,Open,Apache Arrow,2
7/2/2018,Antoine Pitrou,Resolved,Apache Arrow,2
7/2/2018,Uwe L. Korn,In Progress,Apache Arrow,2
7/2/2018,Uwe L. Korn,Resolved,Apache Arrow,2
7/3/2018,Antoine Pitrou,Resolved,Apache Arrow,2
7/4/2018,Krisztian Szucs,Resolved,Apache Arrow,2
7/4/2018,Philipp Moritz,Resolved,Apache Arrow,2
7/4/2018,Wes McKinney,Resolved,Apache Arrow,2
7/5/2018,Brian Hulette,Open,Apache Arrow,2
7/5/2018,Wes McKinney,Resolved,Apache Arrow,2
7/6/2018,Antoine Pitrou,Open,Apache Arrow,2
7/6/2018,Dave Hirschfeld,Open,Apache Arrow,2
7/6/2018,Philipp Moritz,Resolved,Apache Arrow,2
7/6/2018,Songqing Zhang,Open,Apache Arrow,2
7/7/2018,Uwe L. Korn,Resolved,Apache Arrow,2
7/7/2018,Wes McKinney,Resolved,Apache Arrow,2
7/8/2018,Wes McKinney,Open,Apache Arrow,2
7/8/2018,Wes McKinney,Resolved,Apache Arrow,2
7/9/2018,Kouhei Sutou,Open,Apache Arrow,2
7/10/2018,Antoine Pitrou,Open,Apache Arrow,2
7/10/2018,Uwe L. Korn,Resolved,Apache Arrow,2
7/10/2018,Wes McKinney,Resolved,Apache Arrow,2
7/11/2018,Uwe L. Korn,Resolved,Apache Arrow,2
7/11/2018,Wes McKinney,In Progress,Apache Arrow,2
7/12/2018,Krisztian Szucs,In Progress,Apache Arrow,2
7/12/2018,Paul Taylor,In Progress,Apache Arrow,2
7/12/2018,Uwe L. Korn,Open,Apache Arrow,2
7/12/2018,Wes McKinney,Closed,Apache Arrow,2
7/13/2018,Kouhei Sutou,Open,Apache Arrow,2
7/13/2018,Kouhei Sutou,Resolved,Apache Arrow,2
7/13/2018,Phillip Cloud,Open,Apache Arrow,2
7/14/2018,Uwe L. Korn,In Progress,Apache Arrow,2
7/15/2018,Krisztian Szucs,Open,Apache Arrow,2
7/15/2018,Uwe L. Korn,In Progress,Apache Arrow,2
7/15/2018,Wes McKinney,In Progress,Apache Arrow,2
7/15/2018,Wes McKinney,Resolved,Apache Arrow,2
7/16/2018,Wes McKinney,In Progress,Apache Arrow,2
7/17/2018,Antoine Pitrou,Open,Apache Arrow,2
7/17/2018,Uwe L. Korn,Open,Apache Arrow,2
7/17/2018,Wes McKinney,In Progress,Apache Arrow,2
7/17/2018,Wes McKinney,Resolved,Apache Arrow,2
7/19/2018,Uwe L. Korn,Open,Apache Arrow,2
7/19/2018,Wes McKinney,Resolved,Apache Arrow,2
7/20/2018,Uwe L. Korn,Open,Apache Arrow,2
7/22/2018,Uwe L. Korn,Resolved,Apache Arrow,2
7/23/2018,Antoine Pitrou,Open,Apache Arrow,2
7/24/2018,Wes McKinney,Closed,Apache Arrow,2
7/24/2018,Wes McKinney,In Progress,Apache Arrow,2
7/24/2018,Wes McKinney,Resolved,Apache Arrow,2
7/25/2018,Brian Hulette,Open,Apache Arrow,2
7/25/2018,Bryan Cutler,Open,Apache Arrow,2
7/25/2018,Uwe L. Korn,In Progress,Apache Arrow,2
7/26/2018,Manu Zhang,Open,Apache Arrow,2
7/27/2018,Bryan Cutler,Open,Apache Arrow,2
7/27/2018,Kouhei Sutou,Open,Apache Arrow,2
7/27/2018,Wes McKinney,Open,Apache Arrow,2
7/27/2018,Wes McKinney,Resolved,Apache Arrow,2
7/28/2018,Philipp Hoch,Open,Apache Arrow,2
7/28/2018,Phillip Cloud,Resolved,Apache Arrow,2
7/30/2018,Antoine Pitrou,Open,Apache Arrow,2
7/30/2018,Phillip Cloud,Open,Apache Arrow,2
7/30/2018,Wes McKinney,Open,Apache Arrow,2
7/30/2018,Wes McKinney,Resolved,Apache Arrow,2
7/31/2018,Philipp Moritz,Open,Apache Arrow,2
7/31/2018,Robert Nishihara,Resolved,Apache Arrow,2
7/31/2018,Wes McKinney,In Progress,Apache Arrow,2
8/1/2018,Krisztian Szucs,Open,Apache Arrow,2
8/1/2018,Wes McKinney,In Progress,Apache Arrow,2
8/2/2018,Marco Neumann,Open,Apache Arrow,2
8/2/2018,Uwe L. Korn,Open,Apache Arrow,2
8/3/2018,Philipp Moritz,Open,Apache Arrow,2
8/6/2018,Krisztian Szucs,In Progress,Apache Arrow,2
8/6/2018,Li Jin,Open,Apache Arrow,2
8/6/2018,Max Risuhin,Open,Apache Arrow,2
8/7/2018,Antoine Pitrou,Resolved,Apache Arrow,2
8/7/2018,Francois Saint-Jacques,Open,Apache Arrow,2
8/7/2018,Robert Nishihara,Open,Apache Arrow,2
8/8/2018,Sebastien Binet,Open,Apache Arrow,2
8/8/2018,Wes McKinney,In Progress,Apache Arrow,2
8/9/2018,Antoine Pitrou,Open,Apache Arrow,2
8/10/2018,Antoine Pitrou,Resolved,Apache Arrow,2
8/10/2018,Krisztian Szucs,In Progress,Apache Arrow,2
8/11/2018,Wes McKinney,Resolved,Apache Arrow,2
8/13/2018,Antoine Pitrou,Resolved,Apache Arrow,2
8/13/2018,Uwe L. Korn,Open,Apache Arrow,2
8/14/2018,Albert Shieh,Open,Apache Arrow,2
8/14/2018,Dimitri Vorona,Open,Apache Arrow,2
8/14/2018,Krisztian Szucs,Open,Apache Arrow,2
8/14/2018,Wes McKinney,In Progress,Apache Arrow,2
8/16/2018,David Lee,Open,Apache Arrow,2
8/17/2018,Brian Hulette,Open,Apache Arrow,2
8/17/2018,Brian Hulette,Resolved,Apache Arrow,2
8/17/2018,Kouhei Sutou,Open,Apache Arrow,2
8/17/2018,Krisztian Szucs,Open,Apache Arrow,2
8/17/2018,Uwe L. Korn,In Progress,Apache Arrow,2
8/17/2018,Uwe L. Korn,Open,Apache Arrow,2
8/17/2018,Uwe L. Korn,Resolved,Apache Arrow,2
8/19/2018,Andy Grove,Open,Apache Arrow,2
8/19/2018,Paddy Horan,Open,Apache Arrow,2
8/20/2018,Antoine Pitrou,Closed,Apache Arrow,2
8/21/2018,Kouhei Sutou,Open,Apache Arrow,2
8/22/2018,Uwe L. Korn,In Progress,Apache Arrow,2
8/23/2018,Brian Hulette,Open,Apache Arrow,2
8/25/2018,yosuke shiro,Open,Apache Arrow,2
8/26/2018,Krisztian Szucs,Open,Apache Arrow,2
8/28/2018,Antoine Pitrou,Open,Apache Arrow,2
8/28/2018,Sebastien Binet,Open,Apache Arrow,2
8/28/2018,Wes McKinney,In Progress,Apache Arrow,2
8/29/2018,Antoine Pitrou,Open,Apache Arrow,2
8/30/2018,Kouhei Sutou,Open,Apache Arrow,2
8/30/2018,Uwe L. Korn,Open,Apache Arrow,2
8/30/2018,Wes McKinney,Resolved,Apache Arrow,2
8/31/2018,Wes McKinney,In Progress,Apache Arrow,2
8/31/2018,Wes McKinney,Resolved,Apache Arrow,2
9/1/2018,Krisztian Szucs,Open,Apache Arrow,2
9/1/2018,Wes McKinney,In Progress,Apache Arrow,2
9/3/2018,Wes McKinney,Open,Apache Arrow,2
9/4/2018,Antoine Pitrou,Resolved,Apache Arrow,2
9/4/2018,Bryan Cutler,Resolved,Apache Arrow,2
9/4/2018,Wes McKinney,Resolved,Apache Arrow,2
9/7/2018,Uwe L. Korn,Resolved,Apache Arrow,2
9/7/2018,Wes McKinney,In Progress,Apache Arrow,2
9/7/2018,Wes McKinney,Resolved,Apache Arrow,2
9/8/2018,Wes McKinney,Resolved,Apache Arrow,2
9/10/2018,Paddy Horan,Open,Apache Arrow,2
9/10/2018,Wes McKinney,In Progress,Apache Arrow,2
9/10/2018,Ying Wang,Open,Apache Arrow,2
9/11/2018,Pearu Peterson,Open,Apache Arrow,2
9/12/2018,Antoine Pitrou,Open,Apache Arrow,2
9/12/2018,Wes McKinney,Resolved,Apache Arrow,2
9/14/2018,Kouhei Sutou,Open,Apache Arrow,2
9/14/2018,Krisztian Szucs,Resolved,Apache Arrow,2
9/14/2018,Martin Durant,Open,Apache Arrow,2
9/15/2018,Wes McKinney,In Progress,Apache Arrow,2
9/16/2018,Matthew Rocklin,Open,Apache Arrow,2
9/16/2018,Wes McKinney,In Progress,Apache Arrow,2
9/17/2018,Krisztian Szucs,Open,Apache Arrow,2
9/17/2018,Wes McKinney,In Progress,Apache Arrow,2
9/18/2018,Bryan Cutler,Open,Apache Arrow,2
9/18/2018,Gabriel Becker,Open,Apache Arrow,2
9/18/2018,Krisztian Szucs,In Progress,Apache Arrow,2
9/19/2018,Krisztian Szucs,Resolved,Apache Arrow,2
9/19/2018,Paul Rogers,In Progress,Apache Arrow,2
9/19/2018,Uwe L. Korn,In Progress,Apache Arrow,2
9/19/2018,Uwe L. Korn,Open,Apache Arrow,2
9/21/2018,Animesh Trivedi,Open,Apache Arrow,2
9/21/2018,Bryan Cutler,Open,Apache Arrow,2
9/21/2018,Krisztian Szucs,Open,Apache Arrow,2
9/22/2018,Brian Hulette,Open,Apache Arrow,2
9/22/2018,Uwe L. Korn,In Progress,Apache Arrow,2
9/22/2018,Uwe L. Korn,Open,Apache Arrow,2
9/22/2018,Wes McKinney,In Progress,Apache Arrow,2
9/24/2018,Kouhei Sutou,Open,Apache Arrow,2
9/24/2018,Wes McKinney,In Progress,Apache Arrow,2
9/25/2018,Uwe L. Korn,In Progress,Apache Arrow,2
9/26/2018,Antoine Pitrou,In Progress,Apache Arrow,2
9/26/2018,Antoine Pitrou,Open,Apache Arrow,2
9/26/2018,Krisztian Szucs,In Progress,Apache Arrow,2
9/26/2018,Uwe L. Korn,In Progress,Apache Arrow,2
9/26/2018,Uwe L. Korn,Open,Apache Arrow,2
9/26/2018,Wes McKinney,In Progress,Apache Arrow,2
9/26/2018,Wes McKinney,Resolved,Apache Arrow,2
9/27/2018,Uwe L. Korn,Resolved,Apache Arrow,2
9/27/2018,Wes McKinney,Resolved,Apache Arrow,2
9/28/2018,Krisztian Szucs,In Progress,Apache Arrow,2
9/28/2018,Pearu Peterson,In Progress,Apache Arrow,2
9/28/2018,Pearu Peterson,Resolved,Apache Arrow,2
9/28/2018,Wes McKinney,In Progress,Apache Arrow,2
9/30/2018,Kouhei Sutou,Open,Apache Arrow,2
9/30/2018,Wes McKinney,Resolved,Apache Arrow,2
3/1/2018,Abdullah Alamoudi,Reopened,Apache AsterixDB,2
3/1/2018,Murtadha Hubail,Open,Apache AsterixDB,2
7/13/2018,Xikui Wang,Open,Apache AsterixDB,2
7/16/2018,Wail Alkowaileet,Open,Apache AsterixDB,2
7/23/2018,Chen Luo,Open,Apache AsterixDB,2
7/25/2018,Dmitry Lychagin,Resolved,Apache AsterixDB,2
7/27/2018,Chen Luo,Open,Apache AsterixDB,2
7/30/2018,Ian Maxon,Open,Apache AsterixDB,2
8/7/2018,Taewoo Kim,Open,Apache AsterixDB,2
8/15/2018,Taewoo Kim,Open,Apache AsterixDB,2
8/27/2018,Dmitry Lychagin,Reopened,Apache AsterixDB,2
8/28/2018,Dmitry Lychagin,In Progress,Apache AsterixDB,2
9/6/2018,Dmitry Lychagin,Open,Apache AsterixDB,2
9/14/2018,Chen Luo,Open,Apache AsterixDB,2
9/24/2018,Taewoo Kim,Open,Apache AsterixDB,2
6/2/2018,Gilles,Open,Apache Commons Geometry,2
6/2/2018,Gilles,Resolved,Apache Commons Geometry,2
9/13/2018,Gilles,Open,Apache Commons Geometry,2
9/22/2018,Gilles,Open,Apache Commons Geometry,2
9/25/2018,Gilles,Open,Apache Commons Geometry,2
11/29/2011,jcesarmobile,Reopened,Apache Cordova,2
11/30/2011,Shazron Abdullah,Closed,Apache Cordova,2
12/1/2011,Shazron Abdullah,Closed,Apache Cordova,2
1/3/2012,Shazron Abdullah,Closed,Apache Cordova,2
1/4/2012,Shazron Abdullah,Closed,Apache Cordova,2
1/16/2012,Shazron Abdullah,Closed,Apache Cordova,2
1/23/2012,Shazron Abdullah,Closed,Apache Cordova,2
1/27/2012,Shazron Abdullah,Closed,Apache Cordova,2
1/31/2012,Shazron Abdullah,Closed,Apache Cordova,2
2/2/2012,Shazron Abdullah,Closed,Apache Cordova,2
2/9/2012,Shazron Abdullah,Closed,Apache Cordova,2
2/13/2012,Shazron Abdullah,Closed,Apache Cordova,2
2/16/2012,Shazron Abdullah,Closed,Apache Cordova,2
2/17/2012,Shazron Abdullah,Closed,Apache Cordova,2
2/18/2012,Shazron Abdullah,Closed,Apache Cordova,2
2/22/2012,Shazron Abdullah,Closed,Apache Cordova,2
2/23/2012,Shazron Abdullah,Closed,Apache Cordova,2
3/6/2012,Shazron Abdullah,Closed,Apache Cordova,2
3/7/2012,Shazron Abdullah,Closed,Apache Cordova,2
3/10/2012,Shazron Abdullah,Closed,Apache Cordova,2
3/28/2012,Shazron Abdullah,Closed,Apache Cordova,2
3/31/2012,Shazron Abdullah,Closed,Apache Cordova,2
4/1/2012,Shazron Abdullah,Closed,Apache Cordova,2
4/7/2012,Shazron Abdullah,Closed,Apache Cordova,2
4/15/2012,Shazron Abdullah,Closed,Apache Cordova,2
4/21/2012,Shazron Abdullah,Closed,Apache Cordova,2
5/3/2012,Shazron Abdullah,Closed,Apache Cordova,2
5/21/2012,Shazron Abdullah,Closed,Apache Cordova,2
5/25/2012,Shazron Abdullah,Closed,Apache Cordova,2
5/28/2012,Shazron Abdullah,Closed,Apache Cordova,2
6/8/2012,Shazron Abdullah,Closed,Apache Cordova,2
6/15/2012,Shazron Abdullah,Closed,Apache Cordova,2
6/26/2012,Shazron Abdullah,Closed,Apache Cordova,2
6/29/2012,Shazron Abdullah,Closed,Apache Cordova,2
7/1/2012,Shazron Abdullah,Closed,Apache Cordova,2
7/3/2012,Shazron Abdullah,Closed,Apache Cordova,2
7/9/2012,Shazron Abdullah,Closed,Apache Cordova,2
7/13/2012,Shazron Abdullah,Closed,Apache Cordova,2
7/28/2012,Shazron Abdullah,Closed,Apache Cordova,2
7/31/2012,Shazron Abdullah,Closed,Apache Cordova,2
8/12/2012,Shazron Abdullah,Closed,Apache Cordova,2
8/23/2012,Shazron Abdullah,Closed,Apache Cordova,2
8/25/2012,Shazron Abdullah,Closed,Apache Cordova,2
8/29/2012,Shazron Abdullah,Closed,Apache Cordova,2
9/8/2012,Shazron Abdullah,Closed,Apache Cordova,2
9/15/2012,Shazron Abdullah,Closed,Apache Cordova,2
9/16/2012,Shazron Abdullah,Closed,Apache Cordova,2
9/18/2012,Shazron Abdullah,Closed,Apache Cordova,2
9/22/2012,Shazron Abdullah,Closed,Apache Cordova,2
9/27/2012,Shazron Abdullah,Closed,Apache Cordova,2
10/6/2012,Shazron Abdullah,Closed,Apache Cordova,2
10/10/2012,Shazron Abdullah,Closed,Apache Cordova,2
10/22/2012,Shazron Abdullah,Closed,Apache Cordova,2
10/23/2012,Shazron Abdullah,Closed,Apache Cordova,2
11/1/2012,jcesarmobile,Closed,Apache Cordova,2
11/1/2012,jcesarmobile,Open,Apache Cordova,2
11/20/2012,Shazron Abdullah,Closed,Apache Cordova,2
11/23/2012,Shazron Abdullah,Closed,Apache Cordova,2
11/25/2012,Shazron Abdullah,Closed,Apache Cordova,2
11/26/2012,Shazron Abdullah,Closed,Apache Cordova,2
11/29/2012,Shazron Abdullah,Closed,Apache Cordova,2
11/30/2012,Shazron Abdullah,Closed,Apache Cordova,2
12/12/2012,Shazron Abdullah,Closed,Apache Cordova,2
12/21/2012,Shazron Abdullah,Closed,Apache Cordova,2
12/27/2012,Shazron Abdullah,Closed,Apache Cordova,2
1/25/2013,Shazron Abdullah,Closed,Apache Cordova,2
1/30/2013,Shazron Abdullah,Closed,Apache Cordova,2
2/2/2013,Shazron Abdullah,Closed,Apache Cordova,2
2/3/2013,Shazron Abdullah,Closed,Apache Cordova,2
2/12/2013,jcesarmobile,Closed,Apache Cordova,2
2/12/2013,jcesarmobile,Open,Apache Cordova,2
2/23/2013,Shazron Abdullah,Closed,Apache Cordova,2
3/6/2013,Shazron Abdullah,Closed,Apache Cordova,2
3/17/2013,Shazron Abdullah,Closed,Apache Cordova,2
3/23/2013,Shazron Abdullah,Closed,Apache Cordova,2
3/29/2013,Shazron Abdullah,Closed,Apache Cordova,2
4/4/2013,Shazron Abdullah,Closed,Apache Cordova,2
5/12/2013,Shazron Abdullah,Closed,Apache Cordova,2
6/9/2013,Shazron Abdullah,Closed,Apache Cordova,2
6/17/2013,jcesarmobile,Closed,Apache Cordova,2
6/17/2013,jcesarmobile,Reopened,Apache Cordova,2
6/29/2013,Shazron Abdullah,Closed,Apache Cordova,2
7/13/2013,Shazron Abdullah,Closed,Apache Cordova,2
9/6/2013,Shazron Abdullah,Closed,Apache Cordova,2
9/22/2013,Shazron Abdullah,Closed,Apache Cordova,2
9/28/2013,Shazron Abdullah,Closed,Apache Cordova,2
10/18/2013,Shazron Abdullah,Closed,Apache Cordova,2
10/20/2013,Shazron Abdullah,Closed,Apache Cordova,2
10/25/2013,Shazron Abdullah,Closed,Apache Cordova,2
10/26/2013,Shazron Abdullah,Closed,Apache Cordova,2
11/2/2013,Shazron Abdullah,Closed,Apache Cordova,2
11/17/2013,Shazron Abdullah,Closed,Apache Cordova,2
12/15/2013,Shazron Abdullah,Closed,Apache Cordova,2
12/22/2013,Shazron Abdullah,Closed,Apache Cordova,2
12/24/2013,Shazron Abdullah,Closed,Apache Cordova,2
12/25/2013,Shazron Abdullah,Closed,Apache Cordova,2
12/26/2013,Shazron Abdullah,Open,Apache Cordova,2
12/26/2013,Shazron Abdullah,Resolved,Apache Cordova,2
12/30/2013,Shazron Abdullah,Closed,Apache Cordova,2
